"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","total_votes","valid_votes","valid_votes2","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","national_winner","votes_national_winner"
"Kazakhstan","KAZ","Czechia","CZE",2013-10-25,"Legislative",17,11,11,11,NA,NA,NA,4,"ANO 2011",1,"Ceska str.socialne demokrat.",1,"TOP 09",1,"Obcanska demokraticka strana",1,"Krest.demokr.unie-Cs.str.lid.",1,"Strana zelenych",1,"Usvit prime demokr.T.Okamury",1,"Strana Prav Obcanu ZEMANOVCI",0,"Ceska piratska strana",0,"Komunisticka str.Cech a Moravy",0,"Strana svobodnych obcanu",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",1
"Kosovo",NA,"Czechia","CZE",2013-10-25,"Legislative",38,32,31,31,NA,NA,NA,8,"Ceska str.socialne demokrat.",5,"Strana zelenych",3,"TOP 09",3,"Obcanska demokraticka strana",3,"Krest.demokr.unie-Cs.str.lid.",3,"Strana svobodnych obcanu",2,"Ceska piratska strana",1,"ANO 2011",1,"Usvit prime demokr.T.Okamury",1,"Komunisticka str.Cech a Moravy",1,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",8
"Kuwait","KWT","Czechia","CZE",2013-10-25,"Legislative",20,7,7,7,NA,NA,NA,3,"Komunisticka str.Cech a Moravy",2,"TOP 09",1,"Strana zelenych",1,"Strana svobodnych obcanu",0,"Ceska str.socialne demokrat.",0,"Ceska piratska strana",0,"Obcanska demokraticka strana",0,"Krest.demokr.unie-Cs.str.lid.",0,"ANO 2011",0,"Usvit prime demokr.T.Okamury",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Latvia","LVA","Czechia","CZE",2013-10-25,"Legislative",45,41,41,41,NA,NA,NA,10,"TOP 09",8,"Ceska str.socialne demokrat.",6,"Krest.demokr.unie-Cs.str.lid.",5,"Strana zelenych",4,"Obcanska demokraticka strana",3,"Ceska piratska strana",3,"ANO 2011",1,"Komunisticka str.Cech a Moravy",1,"Strana svobodnych obcanu",0,"Usvit prime demokr.T.Okamury",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",8
"Lebanon","LBN","Czechia","CZE",2013-10-25,"Legislative",20,13,13,13,NA,NA,NA,4,"Ceska str.socialne demokrat.",2,"ANO 2011",2,"HLAVU VZHURU - volebni blok",1,"Ceska piratska strana",1,"Obcanska demokraticka strana",1,"Strana zelenych",1,"Usvit prime demokr.T.Okamury",1,"Komunisticka str.Cech a Moravy",0,"TOP 09",0,"Krest.demokr.unie-Cs.str.lid.",0,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",4
"Libya","LBY","Czechia","CZE",2013-10-25,"Legislative",15,6,6,6,NA,NA,NA,3,"Ceska str.socialne demokrat.",1,"Usvit prime demokr.T.Okamury",1,"Komunisticka str.Cech a Moravy",1,"Strana soukromniku CR",0,"Ceska piratska strana",0,"TOP 09",0,"Obcanska demokraticka strana",0,"Krest.demokr.unie-Cs.str.lid.",0,"ANO 2011",0,"Strana zelenych",0,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",3
"Lithuania","LTU","Czechia","CZE",2013-10-25,"Legislative",59,51,50,50,NA,NA,NA,11,"Obcanska demokraticka strana",9,"Ceska str.socialne demokrat.",8,"TOP 09",7,"Strana zelenych",5,"Strana svobodnych obcanu",3,"Ceska piratska strana",3,"Krest.demokr.unie-Cs.str.lid.",2,"ANO 2011",2,"Komunisticka str.Cech a Moravy",0,"Usvit prime demokr.T.Okamury",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",9
"Malaysia","MYS","Czechia","CZE",2013-10-25,"Legislative",20,14,14,14,NA,NA,NA,6,"TOP 09",3,"Strana svobodnych obcanu",2,"Obcanska demokraticka strana",2,"ANO 2011",1,"Strana zelenych",0,"Ceska str.socialne demokrat.",0,"Ceska piratska strana",0,"Krest.demokr.unie-Cs.str.lid.",0,"Usvit prime demokr.T.Okamury",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Mali","MLI","Czechia","CZE",2013-10-25,"Legislative",8,7,7,7,NA,NA,NA,2,"Krest.demokr.unie-Cs.str.lid.",2,"Usvit prime demokr.T.Okamury",1,"Ceska piratska strana",1,"TOP 09",1,"Obcanska demokraticka strana",0,"Ceska str.socialne demokrat.",0,"ANO 2011",0,"Strana zelenych",0,"Komunisticka str.Cech a Moravy",0,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Mexico","MEX","Czechia","CZE",2013-10-25,"Legislative",71,35,35,35,NA,NA,NA,9,"Strana zelenych",7,"TOP 09",5,"ANO 2011",4,"Obcanska demokraticka strana",3,"Ceska piratska strana",2,"Ceska str.socialne demokrat.",2,"Usvit prime demokr.T.Okamury",1,"Krest.demokr.unie-Cs.str.lid.",1,"Komunisticka str.Cech a Moravy",1,"politicke hnuti Zmena",0,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",2
"Moldova","MDA","Czechia","CZE",2013-10-25,"Legislative",17,17,17,17,NA,NA,NA,9,"TOP 09",5,"ANO 2011",1,"Ceska piratska strana",1,"Komunisticka str.Cech a Moravy",1,"Strana Prav Obcanu ZEMANOVCI",0,"Ceska str.socialne demokrat.",0,"Obcanska demokraticka strana",0,"Krest.demokr.unie-Cs.str.lid.",0,"Strana zelenych",0,"Usvit prime demokr.T.Okamury",0,"Strana svobodnych obcanu",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Mongolia","MNG","Czechia","CZE",2013-10-25,"Legislative",18,13,13,13,NA,NA,NA,5,"Ceska str.socialne demokrat.",4,"Strana zelenych",1,"Ceska piratska strana",1,"Obcanska demokraticka strana",1,"Krest.demokr.unie-Cs.str.lid.",1,"ANO 2011",0,"TOP 09",0,"Usvit prime demokr.T.Okamury",0,"Komunisticka str.Cech a Moravy",0,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",5
"Montenegro","MNE","Czechia","CZE",2013-10-25,"Legislative",18,11,11,11,NA,NA,NA,4,"Ceska str.socialne demokrat.",2,"TOP 09",2,"ANO 2011",2,"Suver.-Strana zdraveho rozumu",1,"Strana zelenych",0,"Ceska piratska strana",0,"Obcanska demokraticka strana",0,"Krest.demokr.unie-Cs.str.lid.",0,"Usvit prime demokr.T.Okamury",0,"Komunisticka str.Cech a Moravy",0,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",4
"Morocco","MAR","Czechia","CZE",2013-10-25,"Legislative",10,10,10,10,NA,NA,NA,5,"Ceska str.socialne demokrat.",2,"TOP 09",1,"Ceska piratska strana",1,"Krest.demokr.unie-Cs.str.lid.",1,"Usvit prime demokr.T.Okamury",0,"Obcanska demokraticka strana",0,"ANO 2011",0,"Strana zelenych",0,"Komunisticka str.Cech a Moravy",0,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",5
"Netherlands","NLD","Czechia","CZE",2013-10-25,"Legislative",367,317,317,317,NA,NA,NA,135,"TOP 09",58,"Strana zelenych",29,"Krest.demokr.unie-Cs.str.lid.",25,"Obcanska demokraticka strana",19,"ANO 2011",17,"Ceska str.socialne demokrat.",13,"Ceska piratska strana",8,"Strana svobodnych obcanu",6,"Usvit prime demokr.T.Okamury",3,"politicke hnuti Zmena",2,"Strana Prav Obcanu ZEMANOVCI",1,"Delnic.str.socialni spravedl.",1,"HLAVU VZHURU - volebni blok",0,"Komunisticka str.Cech a Moravy",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",17
"Nigeria","NGA","Czechia","CZE",2013-10-25,"Legislative",11,8,8,8,NA,NA,NA,3,"TOP 09",2,"Ceska str.socialne demokrat.",2,"ANO 2011",1,"Strana zelenych",0,"Ceska piratska strana",0,"Obcanska demokraticka strana",0,"Krest.demokr.unie-Cs.str.lid.",0,"Usvit prime demokr.T.Okamury",0,"Komunisticka str.Cech a Moravy",0,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",2
"North Korea","PRK","Czechia","CZE",2013-10-25,"Legislative",3,0,0,0,NA,NA,NA,0,"Ceska str.socialne demokrat.",0,"Ceska piratska strana",0,"TOP 09",0,"Obcanska demokraticka strana",0,"Krest.demokr.unie-Cs.str.lid.",0,"ANO 2011",0,"Strana zelenych",0,"Usvit prime demokr.T.Okamury",0,"Komunisticka str.Cech a Moravy",0,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"North Macedonia","MKD","Czechia","CZE",2013-10-25,"Legislative",15,15,15,15,NA,NA,NA,7,"TOP 09",2,"Ceska str.socialne demokrat.",2,"Obcanska demokraticka strana",2,"Strana zelenych",1,"Krest.demokr.unie-Cs.str.lid.",1,"ANO 2011",0,"Ceska piratska strana",0,"Usvit prime demokr.T.Okamury",0,"Komunisticka str.Cech a Moravy",0,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",2
"Norway","NOR","Czechia","CZE",2013-10-25,"Legislative",167,118,117,117,NA,NA,NA,43,"TOP 09",29,"Strana zelenych",16,"Krest.demokr.unie-Cs.str.lid.",9,"Obcanska demokraticka strana",5,"Ceska str.socialne demokrat.",4,"ANO 2011",4,"Strana svobodnych obcanu",2,"Ceska piratska strana",2,"Usvit prime demokr.T.Okamury",2,"Komunisticka str.Cech a Moravy",1,"politicke hnuti Zmena",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",5
"Pakistan","PAK","Czechia","CZE",2013-10-25,"Legislative",16,14,14,14,NA,NA,NA,4,"Ceska str.socialne demokrat.",4,"Krest.demokr.unie-Cs.str.lid.",2,"TOP 09",1,"Ceska piratska strana",1,"Obcanska demokraticka strana",1,"Komunisticka str.Cech a Moravy",1,"Strana svobodnych obcanu",0,"ANO 2011",0,"Strana zelenych",0,"Usvit prime demokr.T.Okamury",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",4
"Peru","PER","Czechia","CZE",2013-10-25,"Legislative",53,23,23,23,NA,NA,NA,9,"TOP 09",5,"ANO 2011",3,"Ceska piratska strana",3,"Strana zelenych",2,"Obcanska demokraticka strana",1,"Ceska str.socialne demokrat.",0,"Krest.demokr.unie-Cs.str.lid.",0,"Usvit prime demokr.T.Okamury",0,"Komunisticka str.Cech a Moravy",0,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",1
"Philippines","PHL","Czechia","CZE",2013-10-25,"Legislative",26,25,25,25,NA,NA,NA,11,"TOP 09",4,"Strana zelenych",3,"Obcanska demokraticka strana",3,"Krest.demokr.unie-Cs.str.lid.",2,"ANO 2011",1,"Ceska piratska strana",1,"Strana svobodnych obcanu",0,"Ceska str.socialne demokrat.",0,"Usvit prime demokr.T.Okamury",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Poland","POL","Czechia","CZE",2013-10-25,"Legislative",138,117,115,115,NA,NA,NA,42,"TOP 09",16,"Strana zelenych",14,"Ceska str.socialne demokrat.",10,"Krest.demokr.unie-Cs.str.lid.",7,"Obcanska demokraticka strana",7,"ANO 2011",7,"Usvit prime demokr.T.Okamury",7,"Strana svobodnych obcanu",2,"Komunisticka str.Cech a Moravy",1,"Ceska piratska strana",1,"Strana soukromniku CR",1,"HLAVU VZHURU - volebni blok",0,"Strana Prav Obcanu ZEMANOVCI",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",14
"Portugal","PRT","Czechia","CZE",2013-10-25,"Legislative",179,168,167,167,NA,NA,NA,55,"TOP 09",33,"Krest.demokr.unie-Cs.str.lid.",27,"Obcanska demokraticka strana",22,"ANO 2011",13,"Ceska str.socialne demokrat.",7,"Strana zelenych",3,"Strana svobodnych obcanu",2,"Ceska piratska strana",1,"Usvit prime demokr.T.Okamury",1,"Komunisticka str.Cech a Moravy",1,"Strana Prav Obcanu ZEMANOVCI",1,"Strana soukromniku CR",1,"LEV 21-Narodni socialiste",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",13
"Romania","ROU","Czechia","CZE",2013-10-25,"Legislative",44,38,38,38,NA,NA,NA,15,"TOP 09",5,"ANO 2011",5,"Strana zelenych",3,"Ceska str.socialne demokrat.",3,"Krest.demokr.unie-Cs.str.lid.",2,"Usvit prime demokr.T.Okamury",1,"Obcanska demokraticka strana",1,"Komunisticka str.Cech a Moravy",1,"Strana svobodnych obcanu",1,"Strana Prav Obcanu ZEMANOVCI",1,"Suver.-Strana zdraveho rozumu",0,"Ceska piratska strana",0,"Strana soukromniku CR",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",3
"Russia","RUS","Czechia","CZE",2013-10-25,"Legislative",311,262,262,262,NA,NA,NA,81,"TOP 09",35,"ANO 2011",31,"Ceska str.socialne demokrat.",23,"Obcanska demokraticka strana",22,"Strana zelenych",20,"Krest.demokr.unie-Cs.str.lid.",19,"Komunisticka str.Cech a Moravy",9,"Strana svobodnych obcanu",8,"Ceska piratska strana",5,"Strana Prav Obcanu ZEMANOVCI",4,"Usvit prime demokr.T.Okamury",2,"politicke hnuti Zmena",1,"Strana soukromniku CR",1,"HLAVU VZHURU - volebni blok",1,"Koruna Ceska (monarch.strana)",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",31
"Saudi Arabia","SAU","Czechia","CZE",2013-10-25,"Legislative",17,13,13,13,NA,NA,NA,7,"TOP 09",5,"Ceska str.socialne demokrat.",1,"Strana svobodnych obcanu",0,"Ceska piratska strana",0,"Obcanska demokraticka strana",0,"Krest.demokr.unie-Cs.str.lid.",0,"ANO 2011",0,"Strana zelenych",0,"Usvit prime demokr.T.Okamury",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",5
"Serbia","SRB","Czechia","CZE",2013-10-25,"Legislative",124,81,81,81,NA,NA,NA,30,"TOP 09",11,"Obcanska demokraticka strana",10,"ANO 2011",8,"Krest.demokr.unie-Cs.str.lid.",6,"Strana zelenych",5,"Ceska str.socialne demokrat.",3,"Ceska piratska strana",3,"Komunisticka str.Cech a Moravy",1,"Usvit prime demokr.T.Okamury",1,"Strana svobodnych obcanu",1,"Strana Prav Obcanu ZEMANOVCI",1,"HLAVU VZHURU - volebni blok",1,"Koruna Ceska (monarch.strana)",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",5
"Slovakia","SVK","Czechia","CZE",2013-10-25,"Legislative",791,491,491,491,NA,NA,NA,162,"TOP 09",78,"Obcanska demokraticka strana",63,"ANO 2011",42,"Krest.demokr.unie-Cs.str.lid.",40,"Ceska str.socialne demokrat.",40,"Strana zelenych",18,"Komunisticka str.Cech a Moravy",13,"Usvit prime demokr.T.Okamury",11,"Ceska piratska strana",11,"Strana svobodnych obcanu",4,"Strana Prav Obcanu ZEMANOVCI",3,"politicke hnuti Zmena",2,"Suver.-Strana zdraveho rozumu",2,"HLAVU VZHURU - volebni blok",1,"Strana soukromniku CR",1,"Romska demokraticka strana",0,"Delnic.str.socialni spravedl.",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",40
"Slovenia","SVN","Czechia","CZE",2013-10-25,"Legislative",78,72,72,72,NA,NA,NA,28,"TOP 09",15,"Strana zelenych",5,"Ceska str.socialne demokrat.",5,"Obcanska demokraticka strana",5,"Krest.demokr.unie-Cs.str.lid.",5,"ANO 2011",4,"Usvit prime demokr.T.Okamury",3,"Ceska piratska strana",1,"Strana svobodnych obcanu",1,"politicke hnuti Zmena",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",5
"South Africa","ZAF","Czechia","CZE",2013-10-25,"Legislative",73,16,16,16,NA,NA,NA,4,"TOP 09",3,"Obcanska demokraticka strana",3,"Krest.demokr.unie-Cs.str.lid.",3,"Strana zelenych",1,"Ceska str.socialne demokrat.",1,"ANO 2011",1,"Usvit prime demokr.T.Okamury",0,"Ceska piratska strana",0,"Komunisticka str.Cech a Moravy",0,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",1
