"country","country_of_origin","election_date","election_type","registered_voters","total_votes","valid_votes","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","votes_party_30","party_party_30","votes_party_31","party_party_31","votes_party_32","party_party_32","votes_party_33","party_party_33","votes_party_34","party_party_34","votes_party_35","party_party_35","votes_party_36","party_party_36","votes_party_37","party_party_37","votes_party_38","party_party_38","votes_party_39","party_party_39","votes_party_40","party_party_40","votes_party_41","party_party_41","votes_party_42","party_party_42","votes_party_43","party_party_43","votes_party_44","party_party_44","votes_party_45","party_party_45","national_winner","votes_national_winner"
"Slovakia","Serbia",2016-04-24,"Legislative",102,63,62,NA,NA,1,15,"ALEKSANDAR VUCIC - SERBIA IS WINNING",14,"ENOUGH IS ENOUGH - SASA RADULOVIC",8,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",7,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",6,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",5,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",3,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",2,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",1,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",1,"GREEN PARTY",0,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",0,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",0,"SDA Sandzak - Dr Sulejman Ugljanin",0,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",0,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",0,"RUSSIAN PARTY - SLOBODAN NIKOLIC",0,"Republican Party - Republicanus part - Nikola Sandulovic",0,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",0,"Borko Stefanovic - Serbia for All of Us",0,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",15
"Slovenia","Serbia",2016-04-24,"Legislative",147,107,105,NA,NA,2,48,"ALEKSANDAR VUCIC - SERBIA IS WINNING",13,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",11,"ENOUGH IS ENOUGH - SASA RADULOVIC",9,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",8,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",6,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",5,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",3,"Borko Stefanovic - Serbia for All of Us",1,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",1,"RUSSIAN PARTY - SLOBODAN NIKOLIC",0,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",0,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",0,"SDA Sandzak - Dr Sulejman Ugljanin",0,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",0,"Republican Party - Republicanus part - Nikola Sandulovic",0,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",0,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",0,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",0,"GREEN PARTY",0,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",48
"South Africa","Serbia",2016-04-24,"Legislative",168,101,100,NA,NA,1,39,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",18,"ALEKSANDAR VUCIC - SERBIA IS WINNING",15,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",8,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",7,"ENOUGH IS ENOUGH - SASA RADULOVIC",5,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",3,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",2,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",2,"Borko Stefanovic - Serbia for All of Us",1,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",0,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",0,"SDA Sandzak - Dr Sulejman Ugljanin",0,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",0,"RUSSIAN PARTY - SLOBODAN NIKOLIC",0,"Republican Party - Republicanus part - Nikola Sandulovic",0,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",0,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",0,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",0,"GREEN PARTY",0,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",18
"Switzerland","Serbia",2016-04-24,"Legislative",561,432,428,NA,NA,4,170,"ALEKSANDAR VUCIC - SERBIA IS WINNING",83,"ENOUGH IS ENOUGH - SASA RADULOVIC",56,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",33,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",27,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",22,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",12,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",11,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",4,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",3,"SDA Sandzak - Dr Sulejman Ugljanin",2,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",1,"RUSSIAN PARTY - SLOBODAN NIKOLIC",1,"Borko Stefanovic - Serbia for All of Us",1,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",1,"GREEN PARTY",1,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",0,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",0,"Republican Party - Republicanus part - Nikola Sandulovic",0,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",0,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",170
"Turkey","Serbia",2016-04-24,"Legislative",193,113,110,NA,NA,3,43,"ALEKSANDAR VUCIC - SERBIA IS WINNING",30,"SDA Sandzak - Dr Sulejman Ugljanin",13,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",9,"ENOUGH IS ENOUGH - SASA RADULOVIC",6,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",3,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",2,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",2,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",1,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",1,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",0,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",0,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",0,"RUSSIAN PARTY - SLOBODAN NIKOLIC",0,"Republican Party - Republicanus part - Nikola Sandulovic",0,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",0,"Borko Stefanovic - Serbia for All of Us",0,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",0,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",0,"GREEN PARTY",0,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",43
"UK","Serbia",2016-04-24,"Legislative",260,209,207,NA,NA,2,80,"ENOUGH IS ENOUGH - SASA RADULOVIC",40,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",26,"ALEKSANDAR VUCIC - SERBIA IS WINNING",22,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",11,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",9,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",7,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",4,"Borko Stefanovic - Serbia for All of Us",2,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",2,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",2,"GREEN PARTY",1,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",1,"Republican Party - Republicanus part - Nikola Sandulovic",0,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",0,"SDA Sandzak - Dr Sulejman Ugljanin",0,"RUSSIAN PARTY - SLOBODAN NIKOLIC",0,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",0,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",0,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",0,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",26
"United Arab Emirates","Serbia",2016-04-24,"Legislative",197,113,111,NA,NA,2,32,"ENOUGH IS ENOUGH - SASA RADULOVIC",28,"ALEKSANDAR VUCIC - SERBIA IS WINNING",17,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",10,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",6,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",5,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",3,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",2,"Borko Stefanovic - Serbia for All of Us",2,"GREEN PARTY",1,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",1,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",1,"RUSSIAN PARTY - SLOBODAN NIKOLIC",1,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",1,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",1,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",0,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",0,"SDA Sandzak - Dr Sulejman Ugljanin",0,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",0,"Republican Party - Republicanus part - Nikola Sandulovic",0,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",28
"US","Serbia",2016-04-24,"Legislative",415,275,272,NA,NA,3,68,"ENOUGH IS ENOUGH - SASA RADULOVIC",46,"ALEKSANDAR VUCIC - SERBIA IS WINNING",44,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",36,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",22,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",22,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",18,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",5,"Borko Stefanovic - Serbia for All of Us",3,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",2,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",2,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",1,"SDA Sandzak - Dr Sulejman Ugljanin",1,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",1,"RUSSIAN PARTY - SLOBODAN NIKOLIC",1,"GREEN PARTY",0,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",0,"Republican Party - Republicanus part - Nikola Sandulovic",0,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",0,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",0,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",46
"Austria","Serbia",2012-05-06,"Presidential",308,233,225,NA,NA,8,95,"Boris Tadic",29,"Tomislav Nikolic",27,"Ivica Dacic",20,"Cedomir Jovanovic",14,"Vladan Glisic",14,"Vojislav Kostunica",10,"Jadranka Seselj",5,"Prof. Dr. Zoran Stankovic",5,"Muamer Zukorlic",5,"Danica Grujicic",1,"Istvan Pastor",0,"Prof. Dr. Zoran Dragisic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boris Tadic",95
"Belgium","Serbia",2012-05-06,"Presidential",131,107,100,NA,NA,7,53,"Boris Tadic",11,"Tomislav Nikolic",10,"Vojislav Kostunica",10,"Cedomir Jovanovic",7,"Ivica Dacic",4,"Prof. Dr. Zoran Stankovic",3,"Jadranka Seselj",1,"Vladan Glisic",1,"Prof. Dr. Zoran Dragisic",0,"Muamer Zukorlic",0,"Danica Grujicic",0,"Istvan Pastor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boris Tadic",53
"Bosnia","Serbia",2012-05-06,"Presidential",400,344,343,NA,NA,1,92,"Boris Tadic",67,"Tomislav Nikolic",60,"Vojislav Kostunica",42,"Ivica Dacic",25,"Cedomir Jovanovic",20,"Jadranka Seselj",16,"Vladan Glisic",15,"Prof. Dr. Zoran Stankovic",5,"Muamer Zukorlic",1,"Danica Grujicic",0,"Prof. Dr. Zoran Dragisic",0,"Istvan Pastor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boris Tadic",92
"Canada","Serbia",2012-05-06,"Presidential",176,111,110,NA,NA,1,29,"Boris Tadic",26,"Vojislav Kostunica",25,"Vladan Glisic",10,"Tomislav Nikolic",9,"Jadranka Seselj",4,"Ivica Dacic",4,"Cedomir Jovanovic",1,"Prof. Dr. Zoran Stankovic",1,"Prof. Dr. Zoran Dragisic",1,"Danica Grujicic",0,"Muamer Zukorlic",0,"Istvan Pastor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boris Tadic",29
"Croatia","Serbia",2012-05-06,"Presidential",163,108,107,NA,NA,1,42,"Boris Tadic",20,"Tomislav Nikolic",16,"Vojislav Kostunica",8,"Vladan Glisic",8,"Ivica Dacic",7,"Prof. Dr. Zoran Stankovic",4,"Jadranka Seselj",1,"Prof. Dr. Zoran Dragisic",1,"Cedomir Jovanovic",0,"Muamer Zukorlic",0,"Danica Grujicic",0,"Istvan Pastor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boris Tadic",42
"Cyprus","Serbia",2012-05-06,"Presidential",88,84,81,NA,NA,3,36,"Boris Tadic",12,"Tomislav Nikolic",7,"Ivica Dacic",6,"Vojislav Kostunica",6,"Cedomir Jovanovic",5,"Prof. Dr. Zoran Stankovic",4,"Vladan Glisic",3,"Jadranka Seselj",1,"Danica Grujicic",1,"Istvan Pastor",0,"Prof. Dr. Zoran Dragisic",0,"Muamer Zukorlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boris Tadic",36
"Czechia","Serbia",2012-05-06,"Presidential",93,70,69,NA,NA,1,39,"Boris Tadic",8,"Vojislav Kostunica",8,"Tomislav Nikolic",4,"Ivica Dacic",4,"Cedomir Jovanovic",2,"Prof. Dr. Zoran Stankovic",2,"Vladan Glisic",2,"Jadranka Seselj",0,"Prof. Dr. Zoran Dragisic",0,"Muamer Zukorlic",0,"Danica Grujicic",0,"Istvan Pastor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boris Tadic",39
"France","Serbia",2012-05-06,"Presidential",495,378,361,NA,NA,17,103,"Boris Tadic",88,"Tomislav Nikolic",62,"Vojislav Kostunica",34,"Ivica Dacic",24,"Jadranka Seselj",20,"Cedomir Jovanovic",16,"Vladan Glisic",7,"Muamer Zukorlic",3,"Prof. Dr. Zoran Stankovic",2,"Danica Grujicic",1,"Prof. Dr. Zoran Dragisic",1,"Istvan Pastor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boris Tadic",103
"Germany","Serbia",2012-05-06,"Presidential",897,722,703,NA,NA,19,218,"Boris Tadic",137,"Tomislav Nikolic",91,"Vojislav Kostunica",72,"Ivica Dacic",46,"Jadranka Seselj",44,"Vladan Glisic",38,"Muamer Zukorlic",31,"Cedomir Jovanovic",13,"Prof. Dr. Zoran Stankovic",5,"Prof. Dr. Zoran Dragisic",5,"Istvan Pastor",3,"Danica Grujicic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boris Tadic",218
"Italy","Serbia",2012-05-06,"Presidential",598,283,275,NA,NA,8,147,"Boris Tadic",34,"Vojislav Kostunica",24,"Cedomir Jovanovic",22,"Tomislav Nikolic",18,"Ivica Dacic",10,"Prof. Dr. Zoran Stankovic",10,"Vladan Glisic",6,"Jadranka Seselj",3,"Danica Grujicic",1,"Istvan Pastor",0,"Prof. Dr. Zoran Dragisic",0,"Muamer Zukorlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boris Tadic",147
"Libya","Serbia",2012-05-06,"Presidential",150,57,56,NA,NA,1,19,"Boris Tadic",15,"Ivica Dacic",8,"Tomislav Nikolic",4,"Vojislav Kostunica",3,"Prof. Dr. Zoran Stankovic",3,"Danica Grujicic",3,"Cedomir Jovanovic",1,"Jadranka Seselj",0,"Vladan Glisic",0,"Prof. Dr. Zoran Dragisic",0,"Muamer Zukorlic",0,"Istvan Pastor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boris Tadic",19
